formation_date,effective_date,signal_date,variant,lexicon,lambda,direction,ticker,sector,base_weight,ticker_z,tilt_multiplier,pre_normalisation_weight,target_weight,signal_available,clipped_to_zero,fallback_used
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,SO,Utilities,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,T,Comm,0.0268377116057847,,1.0,0.0268377116057847,0.0268377116057847,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,TMUS,Comm,0.0526341059840717,,1.0,0.0526341059840717,0.0526341059840717,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,TTWO,Comm,0.0021491336463584,,1.0,0.0021491336463584,0.0021491336463584,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,UPS,Industrials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,USB,Financials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,V,Financials,0.0126724309083582,,1.0,0.0126724309083582,0.0126724309083582,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,WFC,Financials,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,WMT,Consumer,0.1381157632100252,,1.0,0.1381157632100252,0.1381157632100252,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,XOM,Energy,0.0089877852641889,,1.0,0.0089877852641889,0.0089877852641889,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,ABBV,Healthcare,0.0742857209529456,,1.0,0.0742857209529456,0.0742857209529456,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,ABT,Healthcare,0.0,,1.0,0.0,0.0,False,False,False
