date,ticker,extended_z_expanding
2021-08-20,MRK,3.5699144594623764
2021-08-20,MS,-0.9515693633833013
2021-08-20,NEE,1.5322488573228608
2021-08-20,NEM,
2021-08-20,NKE,
2021-08-20,NUE,-0.41700251547503137
2021-08-20,NVDA,
2021-08-20,O,
2021-08-20,OXY,
2021-08-20,PLD,
2021-08-20,PSA,
2021-08-20,QCOM,
2021-08-20,SBUX,-0.2897066448582746
2021-08-20,SHW,
2021-08-20,SLB,
2021-08-20,SO,
2021-08-20,T,0.665867793931568
2021-08-20,TMUS,-0.5726896318669973
2021-08-20,TTWO,
2021-08-20,UPS,
2021-08-20,USB,-0.34252249422512926
2021-08-20,V,
2021-08-20,WFC,
2021-08-20,WMT,-0.14338089340081978
2021-08-20,XOM,-1.2829955449266501
2021-08-23,ABBV,-0.6334968807907351
2021-08-23,ABT,-0.6298562032699783
2021-08-23,ADBE,1.404738887524619
2021-08-23,AEP,
2021-08-23,AMD,1.8641934489055938
2021-08-23,AMGN,
2021-08-23,AMT,
2021-08-23,BA,
2021-08-23,CAT,
2021-08-23,CCI,
2021-08-23,CMCSA,-0.27185187571161157
2021-08-23,COP,-2.134394875549324
2021-08-23,CVX,0.817277929149046
2021-08-23,D,
2021-08-23,DD,
2021-08-23,DIS,-0.2338510170826335
2021-08-23,DOW,0.6283484139804995
2021-08-23,DUK,-0.5823798815768946
2021-08-23,EA,-2.0976256471435732
2021-08-23,GE,1.5347622072597484
2021-08-23,GILD,-0.41646448938060515
2021-08-23,GS,-0.4179338431258953
2021-08-23,INTC,0.7688037941869136
2021-08-23,KO,-0.4971605200478258
2021-08-23,MMM,-2.366326433438659
2021-08-23,MRK,0.6306500180459551
2021-08-23,MS,-0.5328476982681867
2021-08-23,NEE,-0.9322332482288798
2021-08-23,NEM,1.4723409321573877
2021-08-23,NKE,-0.3662013988383137
2021-08-23,NUE,
2021-08-23,NVDA,
2021-08-23,O,
2021-08-23,OXY,0.3172457224245849
2021-08-23,PLD,
2021-08-23,PSA,
2021-08-23,QCOM,
2021-08-23,SBUX,-0.41635223692760953
2021-08-23,SHW,
2021-08-23,SLB,0.09003093789716511
2021-08-23,SO,
2021-08-23,T,0.7236327123081273
2021-08-23,TMUS,-0.5349647138062297
